City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Praia,14.9215,-23.5087,70.34,78,20,16.11,CV,2022-05-01 01:14:48
1,Hisor,38.525,68.5512,62.35,44,100,3.47,TJ,2022-05-01 01:14:49
2,Ushuaia,-54.8,-68.3,40.66,65,20,13.8,AR,2022-05-01 01:14:49
3,Lagoa,39.05,-27.9833,60.66,88,0,7.05,PT,2022-05-01 01:14:50
4,Grootfontein,-19.5667,18.1167,65.61,45,91,5.68,NA,2022-05-01 01:14:50
5,Cape Town,-33.9258,18.4232,60.91,82,5,5.99,ZA,2022-05-01 01:14:18
6,Kasganj,27.8167,78.65,85.87,17,43,7.05,IN,2022-05-01 01:14:51
7,Saldanha,-33.0117,17.9442,57.74,89,6,9.89,ZA,2022-05-01 01:14:52
8,Port Elizabeth,-33.918,25.5701,61.32,69,39,4.0,ZA,2022-05-01 01:11:32
9,Xanxere,-26.8769,-52.4042,62.28,97,100,3.24,BR,2022-05-01 01:14:52
10,Busselton,-33.65,115.3333,61.45,70,0,4.23,AU,2022-05-01 01:14:53
11,Port Alfred,-33.5906,26.891,54.18,82,33,1.99,ZA,2022-05-01 01:14:54
12,Vila Velha,-20.3297,-40.2925,75.15,90,75,4.61,BR,2022-05-01 01:10:19
13,Kruisfontein,-34.0033,24.7314,52.97,77,100,6.89,ZA,2022-05-01 01:14:54
14,Ponta Do Sol,32.6667,-17.1,66.83,64,0,3.51,PT,2022-05-01 01:14:55
15,Buenos Aires,-34.6132,-58.3772,56.93,62,0,2.3,AR,2022-05-01 01:13:28
16,Milverton,43.5668,-80.9164,49.12,55,100,11.9,CA,2022-05-01 01:14:56
17,Longyearbyen,78.2186,15.6401,12.04,57,0,4.61,SJ,2022-05-01 01:14:56
18,Dikson,73.5069,80.5464,17.62,94,100,15.61,RU,2022-05-01 01:14:57
19,East London,-33.0153,27.9116,60.55,70,6,11.01,ZA,2022-05-01 01:12:34
20,Marietta,33.9526,-84.5499,74.89,70,75,9.22,US,2022-05-01 01:14:57
21,Umm Kaddadah,13.6017,26.6876,80.91,11,79,5.95,SD,2022-05-01 01:14:58
22,Primorsk,46.7348,36.3443,50.99,61,83,13.82,UA,2022-05-01 01:14:59
23,Henties Bay,-22.116,14.2845,57.31,88,0,5.5,NA,2022-05-01 01:14:59
24,Porto Novo,6.4965,2.6036,79.65,82,57,5.08,BJ,2022-05-01 01:15:00
25,Touros,-5.1989,-35.4608,79.48,79,85,13.67,BR,2022-05-01 01:14:07
26,Torbay,47.6666,-52.7314,42.89,95,100,5.75,CA,2022-05-01 01:15:00
27,Aqtobe,50.2797,57.2072,50.09,100,100,6.71,KZ,2022-05-01 01:12:54
28,Port Blair,11.6667,92.75,83.88,69,95,3.31,IN,2022-05-01 01:15:01
29,Hermanus,-34.4187,19.2345,57.61,84,9,6.15,ZA,2022-05-01 01:15:01
30,Forestville,38.8451,-76.875,59.38,51,0,3.44,US,2022-05-01 01:15:02
31,Lethem,3.3803,-59.7968,80.56,63,51,4.79,GY,2022-05-01 01:15:02
32,Mazamari,-11.3258,-74.5308,68.92,96,56,1.36,PE,2022-05-01 01:15:03
33,Saint-Philippe,-21.3585,55.7679,74.79,78,47,7.47,RE,2022-05-01 01:15:04
34,Arraial Do Cabo,-22.9661,-42.0278,73.87,85,92,11.43,BR,2022-05-01 01:15:05
35,Valparaiso,-33.0393,-71.6273,58.64,70,0,4.61,CL,2022-05-01 01:12:12
36,Paamiut,61.994,-49.6678,33.58,95,100,11.63,GL,2022-05-01 01:15:05
37,Santo Antonio Do Monte,-20.0872,-45.2936,66.33,68,86,7.14,BR,2022-05-01 01:15:06
38,Altinopolis,-21.0256,-47.3739,69.15,83,70,4.09,BR,2022-05-01 01:15:07
39,Namibe,-15.1961,12.1522,75.2,83,89,4.36,AO,2022-05-01 01:15:08
40,Pisco,-13.7,-76.2167,65.01,82,0,16.11,PE,2022-05-01 01:14:52
41,Palera,25.0167,79.2333,88.16,21,0,6.58,IN,2022-05-01 01:15:08
42,Grindavik,63.8424,-22.4338,44.55,87,75,12.66,IS,2022-05-01 01:15:09
43,Jamestown,42.097,-79.2353,55.04,32,0,10.36,US,2022-05-01 01:11:32
44,Saint George,37.1041,-113.5841,84.94,10,0,11.5,US,2022-05-01 01:11:53
45,Santa Rosa,14.3122,121.1114,90.1,66,53,10.69,PH,2022-05-01 01:11:25
46,Chuy,-33.6971,-53.4616,56.28,73,100,5.95,UY,2022-05-01 01:16:10
47,Sovetskiy,61.3614,63.5842,31.17,65,14,8.1,RU,2022-05-01 01:16:10
48,Oranjemund,-28.55,16.4333,53.49,86,0,8.66,NA,2022-05-01 01:16:11
49,Belyy Yar,53.6039,91.3903,54.86,49,0,4.47,RU,2022-05-01 01:16:12
50,Qaanaaq,77.484,-69.3632,7.3,80,20,6.89,GL,2022-05-01 01:16:12
51,Port Hawkesbury,45.6169,-61.3485,37.44,97,100,12.66,CA,2022-05-01 01:16:13
52,Sao Filipe,14.8961,-24.4956,72.5,76,43,9.33,CV,2022-05-01 01:16:14
53,Punta Arenas,-53.15,-70.9167,41.11,87,40,8.05,CL,2022-05-01 01:13:48
54,Caravelas,-17.7125,-39.2481,74.73,81,1,4.25,BR,2022-05-01 01:16:14
55,Georgetown,5.4112,100.3354,85.95,84,40,5.75,MY,2022-05-01 01:11:43
56,Tukan,53.8409,57.4552,39.67,82,56,2.13,RU,2022-05-01 01:16:15
57,Peniche,39.3558,-9.3811,58.28,92,85,10.78,PT,2022-05-01 01:16:16
58,Sompeta,18.9333,84.6,82.63,79,6,11.9,IN,2022-05-01 01:16:16
59,Iqaluit,63.7506,-68.5145,19.13,79,20,0.0,CA,2022-05-01 01:16:17
60,Sangueya,10.7,-14.3667,76.75,70,79,3.47,GN,2022-05-01 01:16:18
61,Taoudenni,22.6783,-3.9836,77.83,22,0,16.55,ML,2022-05-01 01:16:18
62,Bandarbeyla,9.4942,50.8122,82.47,79,81,2.44,SO,2022-05-01 01:16:19
63,Bengkulu,-3.8004,102.2655,75.6,93,100,12.77,ID,2022-05-01 01:16:20
64,Tres Arroyos,-38.3739,-60.2798,45.12,60,17,8.88,AR,2022-05-01 01:16:20
65,Bredasdorp,-34.5322,20.0403,54.3,91,6,5.37,ZA,2022-05-01 01:16:21
66,Tiznit,29.5833,-9.5,67.14,35,0,2.35,MA,2022-05-01 01:16:22
67,Maruim,-10.7375,-37.0817,80.56,86,100,3.69,BR,2022-05-01 01:16:22
68,Codrington,-38.2667,141.9667,64.33,65,97,14.47,AU,2022-05-01 01:16:23
69,Abnub,27.2696,31.1511,72.43,36,0,10.31,EG,2022-05-01 01:16:24
70,Castro,-24.7911,-50.0119,58.21,98,51,4.59,BR,2022-05-01 01:16:24
71,Garissa,-0.4536,39.6401,78.28,79,79,15.61,KE,2022-05-01 01:16:25
72,Ancud,-41.8697,-73.8203,50.54,89,100,6.11,CL,2022-05-01 01:16:25
73,Pitimbu,-7.4706,-34.8086,77.59,73,99,12.15,BR,2022-05-01 01:16:26
74,Shahreza,32.0339,51.8794,53.69,67,0,3.33,IR,2022-05-01 01:16:27
75,Diego De Almagro,-26.3667,-70.05,59.94,55,4,1.12,CL,2022-05-01 01:11:29
76,Saint-Augustin,51.226,-58.6502,38.62,90,100,16.28,CA,2022-05-01 01:16:27
77,Mahebourg,-20.4081,57.7,75.49,88,40,8.05,MU,2022-05-01 01:16:28
78,Causapscal,48.3542,-67.227,37.35,98,100,9.57,CA,2022-05-01 01:16:29
79,Hualmay,-11.0964,-77.6139,65.95,87,58,9.17,PE,2022-05-01 01:16:29
80,Vardo,70.3705,31.1107,28.85,72,99,17.47,NO,2022-05-01 01:16:30
81,Ribeira Grande,38.5167,-28.7,61.86,86,8,3.27,PT,2022-05-01 01:16:30
82,Ishurdi,24.1333,89.0833,81.37,81,64,7.65,BD,2022-05-01 01:16:31
83,Beloha,-25.1667,45.05,65.86,86,0,7.85,MG,2022-05-01 01:16:31
84,Quatre Cocos,-20.2078,57.7625,75.31,84,32,9.98,MU,2022-05-01 01:16:32
85,Kidal,18.4411,1.4078,84.52,10,6,12.3,ML,2022-05-01 01:16:33
86,Sistranda,63.7256,8.834,42.76,82,78,16.44,NO,2022-05-01 01:16:33
87,Praia Da Vitoria,38.7333,-27.0667,59.76,94,20,4.27,PT,2022-05-01 01:16:34
88,Sinnamary,5.3833,-52.95,78.15,84,44,9.13,GF,2022-05-01 01:16:34
89,Carutapera,-1.195,-46.02,75.04,94,85,3.78,BR,2022-05-01 01:17:35
90,Narsaq,60.9167,-46.05,44.82,72,19,0.65,GL,2022-05-01 01:17:36
91,Awbari,26.5921,12.7805,75.92,14,100,13.44,LY,2022-05-01 01:17:36
92,Leshukonskoye,64.8989,45.7622,18.77,96,22,3.36,RU,2022-05-01 01:17:36
93,Darjiling,27.0333,88.2667,52.3,84,100,3.74,IN,2022-05-01 01:17:37
94,Osypenko,46.9136,36.8253,52.32,58,95,13.22,UA,2022-05-01 01:17:38
95,Knappskog,60.3819,5.0558,41.05,87,0,6.91,NO,2022-05-01 01:17:38
96,Comarapa,-17.9,-64.4833,53.26,97,38,3.91,BO,2022-05-01 01:17:39
97,Kommunar,59.6206,30.39,38.73,78,92,6.58,RU,2022-05-01 01:17:39
98,San Rafael,-34.6177,-68.3301,53.8,49,0,2.86,AR,2022-05-01 01:15:36
99,Korla,41.7597,86.1469,57.88,24,6,5.77,CN,2022-05-01 01:17:40
100,Shache,38.4167,77.2406,59.5,15,12,5.82,CN,2022-05-01 01:17:41
101,Bhawana,31.5692,72.649,85.06,24,0,8.08,PK,2022-05-01 01:17:41
102,Kovylkino,54.0388,43.9139,30.92,75,7,5.55,RU,2022-05-01 01:17:42
103,Xuddur,4.1213,43.8894,74.41,82,100,5.79,SO,2022-05-01 01:17:42
104,Kondinskoye,59.6481,67.41,32.83,59,14,6.02,RU,2022-05-01 01:17:43
105,Doka,13.5167,35.7667,87.24,16,36,11.88,SD,2022-05-01 01:17:44
106,Cayenne,4.9333,-52.3333,82.09,4,20,5.99,GF,2022-05-01 01:17:44
107,Ovruch,51.3246,28.8035,41.25,78,89,3.76,UA,2022-05-01 01:17:45
108,Miandrivazo,-19.5167,45.4667,70.29,88,0,2.24,MG,2022-05-01 01:17:45
109,Victoria,22.2855,114.1577,70.25,90,100,18.99,HK,2022-05-01 01:12:46
110,Sioux Lookout,50.1001,-91.917,39.29,89,100,12.91,CA,2022-05-01 01:13:46
111,Takoradi,4.8845,-1.7554,80.04,84,23,5.99,GH,2022-05-01 01:13:25
112,Villingen-Schwenningen,48.0667,8.45,41.81,65,6,0.51,DE,2022-05-01 01:17:46
113,Meulaboh,4.1363,96.1285,79.88,85,100,2.71,ID,2022-05-01 01:17:46
114,Trogir,43.5125,16.2517,57.88,66,40,3.44,HR,2022-05-01 01:17:47
115,Palasa,18.7667,84.4167,81.34,86,8,9.17,IN,2022-05-01 01:17:47
116,Kamenka,51.3223,42.7678,37.2,70,8,7.49,RU,2022-05-01 01:17:48
117,Leningradskiy,69.3833,178.4167,15.85,82,53,4.63,RU,2022-05-01 01:17:48
118,Ouahigouya,13.5828,-2.4216,90.59,30,74,7.56,BF,2022-05-01 01:17:49
119,Ilulissat,69.2167,-51.1,17.62,49,5,0.0,GL,2022-05-01 01:17:50
120,Bloemfontein,-29.1211,26.214,38.68,87,0,0.0,ZA,2022-05-01 01:17:50
121,Disna,55.568,28.1971,33.94,67,33,2.13,BY,2022-05-01 01:17:51
122,Upernavik,72.7868,-56.1549,3.45,75,7,6.2,GL,2022-05-01 01:17:51
123,Biu,10.6129,12.1946,78.66,53,100,5.77,NG,2022-05-01 01:17:52
124,Cidreira,-30.1811,-50.2056,64.9,85,100,7.05,BR,2022-05-01 01:17:52
125,Skjervoy,70.0311,20.9714,28.4,79,100,15.43,NO,2022-05-01 01:17:53
126,El Cope,8.6167,-80.6,70.61,93,100,0.87,PA,2022-05-01 01:17:54
127,Mar Del Plata,-38.0023,-57.5575,49.87,75,0,5.99,AR,2022-05-01 01:17:54
128,Itarema,-2.9248,-39.9167,76.95,87,84,7.18,BR,2022-05-01 01:17:55
129,Kavaratti,10.5669,72.642,85.14,71,77,12.66,IN,2022-05-01 01:17:55
130,Cap Malheureux,-19.9842,57.6142,73.47,86,15,1.01,MU,2022-05-01 01:17:56
131,Bathsheba,13.2167,-59.5167,79.41,83,40,16.11,BB,2022-05-01 01:18:57
132,Salalah,17.0151,54.0924,84.29,84,75,3.44,OM,2022-05-01 01:18:57
133,Ostrovnoy,68.0531,39.5131,14.23,92,84,9.8,RU,2022-05-01 01:18:58
134,Agadez,19.75,10.25,84.49,8,76,7.45,NE,2022-05-01 01:18:58
135,Barentu,15.1139,37.5928,76.69,31,6,6.8,ER,2022-05-01 01:18:59
136,Dogondoutchi,13.6393,4.0287,89.76,12,100,5.17,NE,2022-05-01 01:19:00
137,Burgos,42.3394,-3.7079,48.61,93,75,8.05,ES,2022-05-01 01:19:00
138,Rawson,-43.3002,-65.1023,48.54,61,7,17.85,AR,2022-05-01 01:19:01
139,Olinda,-8.0089,-34.8553,82.13,69,75,9.22,BR,2022-05-01 01:19:01
140,Caucaia,-3.7361,-38.6531,80.55,79,40,6.91,BR,2022-05-01 01:19:02
141,Constitucion,-35.3333,-72.4167,52.16,67,0,7.7,CL,2022-05-01 01:19:02
142,Bambous Virieux,-20.3428,57.7575,75.45,88,40,8.05,MU,2022-05-01 01:19:03
143,Jacksonville,30.3322,-81.6556,73.4,73,40,9.22,US,2022-05-01 01:18:08
144,Canto Do Buriti,-8.11,-42.9444,73.08,58,100,3.4,BR,2022-05-01 01:19:03
145,Pavlikeni,43.2428,25.3219,45.68,88,0,2.21,BG,2022-05-01 01:19:04
146,Hithadhoo,-0.6,73.0833,84.81,69,100,12.3,MV,2022-05-01 01:16:52
147,Cardoso,-20.0819,-49.9142,75.85,47,62,3.69,BR,2022-05-01 01:19:04
148,Carballo,43.213,-8.691,55.76,90,41,1.61,ES,2022-05-01 01:19:05
149,Derzhavinsk,51.1,66.3167,55.02,71,100,9.8,KZ,2022-05-01 01:19:06
150,Salto,-31.3833,-57.9667,57.87,80,87,7.0,UY,2022-05-01 01:19:06
151,Saint-Pierre,-21.3393,55.4781,74.91,80,0,4.61,RE,2022-05-01 01:19:07
152,Terre-De-Bas,15.8501,-61.6442,78.31,81,100,14.79,GP,2022-05-01 01:19:07
153,Nzega,-2.479,29.5564,54.12,96,46,3.51,RW,2022-05-01 01:19:08
154,Margate,51.3813,1.3862,46.69,78,100,1.01,GB,2022-05-01 01:19:09
155,Maniitsoq,65.4167,-52.9,21.31,75,3,11.48,GL,2022-05-01 01:19:09
156,Puerto Leguizamo,-0.1934,-74.7819,69.44,99,95,2.62,CO,2022-05-01 01:19:10
157,Ugoofaaru,5.6667,73.0,84.47,74,100,14.43,MV,2022-05-01 01:19:11
158,Proletarskiy,50.7914,35.7731,38.55,87,9,7.0,RU,2022-05-01 01:19:11
159,Pangnirtung,66.1451,-65.7125,21.92,95,99,3.98,CA,2022-05-01 01:19:12
160,Sao Felix Do Xingu,-6.6447,-51.995,71.31,97,22,1.83,BR,2022-05-01 01:19:12
161,Comodoro Rivadavia,-45.8667,-67.5,42.66,75,0,6.91,AR,2022-05-01 01:14:15
162,Sault Sainte Marie,46.5168,-84.3333,52.36,33,0,11.5,CA,2022-05-01 01:17:27
163,Tasiilaq,65.6145,-37.6368,32.16,60,21,4.03,GL,2022-05-01 01:19:13
164,Pervomayskoye,43.919,46.7102,53.87,92,5,7.02,RU,2022-05-01 01:19:14
165,Kem,64.9555,34.5793,25.99,84,22,7.0,RU,2022-05-01 01:19:14
166,Ciudad Guayana,8.3533,-62.6528,81.52,81,99,8.34,VE,2022-05-01 01:14:53
167,Cassilandia,-19.1133,-51.7342,70.92,59,0,0.76,BR,2022-05-01 01:15:24
168,Olafsvik,64.8945,-23.7142,44.06,84,100,15.3,IS,2022-05-01 01:19:15
169,Marzuq,14.4,46.4667,73.83,57,8,3.24,YE,2022-05-01 01:19:16
170,Manaure,11.7751,-72.4445,82.99,79,100,9.4,CO,2022-05-01 01:16:09
171,Ladario,-19.0047,-57.6017,78.26,54,34,1.68,BR,2022-05-01 01:19:16
172,Imbituba,-28.24,-48.6703,67.86,93,100,11.12,BR,2022-05-01 01:19:17
173,Gat,31.61,34.7642,65.8,100,79,12.06,IL,2022-05-01 01:19:18
174,Matay,28.419,30.7792,68.38,51,0,9.48,EG,2022-05-01 01:19:18
175,Turkistan,43.0,68.0,72.55,22,100,5.48,KZ,2022-05-01 01:19:19
176,Meybod,32.2501,54.0166,62.62,57,95,1.07,IR,2022-05-01 01:19:19
177,Oshakati,-17.7833,15.6833,62.62,34,100,5.46,NA,2022-05-01 01:19:20
178,Mollendo,-17.0231,-72.0147,64.8,84,43,5.7,PE,2022-05-01 01:19:20
179,Dingle,10.9995,122.6711,84.18,71,100,9.33,PH,2022-05-01 01:20:21
180,Bereda,43.2686,-7.5406,51.15,100,2,0.96,ES,2022-05-01 01:20:22
181,Luanda,-8.8368,13.2343,76.17,88,100,9.46,AO,2022-05-01 01:18:50
182,Luderitz,-26.6481,15.1594,61.56,44,1,9.24,NA,2022-05-01 01:20:22
183,Havelock,34.8791,-76.9013,69.78,85,75,5.75,US,2022-05-01 01:20:23
184,Killybegs,54.6333,-8.45,50.2,91,100,14.85,IE,2022-05-01 01:20:24
185,Haradok,55.4624,29.9816,37.51,79,65,3.8,BY,2022-05-01 01:20:24
186,Kibre Mengist,5.8833,38.9833,56.52,99,78,2.82,ET,2022-05-01 01:20:25
187,Dharampur,20.5333,73.1833,79.72,72,4,5.35,IN,2022-05-01 01:20:25
188,Sisimiut,66.9395,-53.6735,17.73,70,17,7.11,GL,2022-05-01 01:20:26
189,Suruc,36.9761,38.425,60.28,85,100,11.99,TR,2022-05-01 01:20:28
190,Nouna,12.7333,-3.8667,93.52,27,89,9.33,BF,2022-05-01 01:20:28
191,Montlucon,46.3333,2.6,38.7,94,100,1.23,FR,2022-05-01 01:20:29
192,Eyl,7.9803,49.8164,82.72,77,58,2.57,SO,2022-05-01 01:20:29
193,Minab,27.1467,57.0801,79.12,73,0,2.3,IR,2022-05-01 01:20:30
